,"Existing technologies such as renewable energy, electric vehicles, and heat pumps are already available and sufficient for the transition away from fossil fuels.","A major technological breakthrough, like space travel or atmosphere manipulation, is needed to save us from the effects of global warming.","Government, regulation, and consumer behavior play a crucial role in addressing climate change.","Global warming might not be solved due to issues like international cooperation, economic concerns, and the unwillingness to adapt.","Lifestyle and systemic changes, like reducing meat consumption, using public transit, and embracing community-based solutions, are essential for addressing climate change."
9190153,Yes,No,Yes,No,No
92947608,Yes,No,No,No,No
28634333,No,No,No,Yes,No
28312389,No,No,No,Yes,No
91782895,No,No,No,Yes,No
61145487,No,No,Yes,No,Yes
30520126,No,Yes,No,No,No
61489654,Yes,Yes,Yes,No,Yes
95362406,No,Yes,No,No,No
29257320,No,No,Yes,Yes,No
37286383,No,Yes,Yes,No,Yes
20928113,No,No,No,Yes,No
76748472,No,No,Yes,Yes,Yes
65022757,No,No,Yes,No,No
49466974,No,No,Yes,No,Yes
95482972,No,No,No,No,Yes
